Country Code,"Annual Inflation (21,22,23,24)",Effective Inflation Rate from Nov 2021 to Mar 2024,Country
BGR,"6.6, 14.3, 4.7, 2.2",21.613513801326413,Bulgaria
BFA,"8.2, 9.6, 2.4, 2",14.278648913268931,Burkina Faso
CPV,"5.4, 7.6, 5.2, 2",14.758489321614498,Cabo Verde
KHM,"3.7, 2.9, 3, 3",7.421620196481116,Cambodia
CAF,"2.7, 7.6, 5.5, 2.5",14.729236797543743,Central African Republic
CHN,"1.4, 1.8, 0.9, 1.9",3.440072454153187,"China, People's Republic of"
COD,"5.3, 13.1, 19.3, 7.1",38.448571205115975,"Congo, Dem. Rep. of the"
CRI,"3.3, 7.9, -0.9, 3",8.306484388209046,Costa Rica
HRV,"5.2, 12.7, 6.2, 3.2",21.657152474411557,Croatia
CYP,"4.8, 7.6, 2.2, 2.2",11.434440839052984,Cyprus
TLS,"5.3, 6.9, 6, 2.5",15.001260000334371,Timor-Leste
DNK,"3.5, 9.6, 2.5, 2.5",13.685596329334548,Denmark
DMA,"3.5, 6.6, 5, 2.9",13.38103202772858,Dominica
DOM,"8.5, 7.8, 4, 4",14.766567134040498,Dominican Republic
WE,"11.5, 14.6, 13.6, 8.8",35.39396833901476,
WEOWORLD,"6.3, 8.9, 6.4, 5.1",18.520205950803636,
EU,"5.4, 10.6, 4, 3",16.897316319755173,
BRN,"2.2, 3.3, 1.7, 1.5",5.8310084066725,Brunei Darussalam
GNQ,"2.9, 5, 1.7, 5.2",8.663431626243545,Equatorial Guinea
ERI,"0, 0, 0, 0",0.0,Eritrea
ITA,"4.2, 12.3, 1.1, 3",15.164379290359076,Italy
JAM,"7.3, 9.4, 5, 5",17.653242161142103,Jamaica
MEX,"7.4, 7.8, 4.5, 3.2",14.900615691336604,Mexico
PRI,"4.2, 6.2, 1.1, 1.9",8.616841957949873,Puerto Rico
QAT,"6.5, 5.9, 0.8, 2.3",8.488491025772781,Qatar
CHE,"1.6, 2.9, 1.9, 1.9",5.62872948983002,Switzerland
SYR,"0, 0, 0, 0",0.0,Syria
MAE,"5.6, 7.2, 3.2, 2.5",12.330950922878682,
OAE,"3.5, 6.1, 3.7, 2.4",11.316408984207271,
EDE,"15.1, 26.7, 20.3, 17.2",62.35040103466907,
OEMDC,"7.1, 10.1, 8.6, 6.8",22.94896275189846,
MECA,"12.5, 15.9, 18.5, 12.8",44.345909617137,
SSA,"11.6, 16.2, 16.2, 10.5",40.992774904021644,
AFG,"12.6, 5.2, 0, 0",7.301420549082338,Afghanistan
AND,"3.3, 7.2, 4.4, 2",13.08249462343447,Andorra
ARG,"50.9, 94.8, 135.7, 69.5",461.07704450954037,Argentina
ARM,"7.7, 8.3, 4, 4",15.15675400015104,Armenia
AUS,"3.7, 7.8, 4.7, 3.4",14.50524226569254,Australia
AUT,"3.8, 10.5, 5.6, 3.2",18.343846098548777,Austria
BHR,"-0.4, 3.6, 1, 1.4",4.930201700283332,Bahrain
BGD,"5.6, 7.6, 9.7, 7.2",21.202501019525876,Bangladesh
BEL,"6.6, 10.2, 0.4, 4",12.927533579084805,Belgium
BTN,"7.4, 6.5, 3.8, 5.1",13.270031300511654,Bhutan
BWA,"8.7, 12.4, 5.1, 4.4",21.08278716321621,Botswana
BRA,"10.1, 5.8, 4.9, 3.9",13.862206586598113,Brazil
TUN,"6.6, 10.1, 8.5, 10.6",23.81750249682597,Tunisia
TUR,"36.1, 64.3, 64, 54.3",216.1422796053105,"Türkiye, Republic of"
TUV,"9.8, 13.6, 6.2, 3.8",23.685629336916293,Tuvalu
UGA,"2.9, 10.2, 3.5, 5",16.008149229874903,Uganda
ARE,"-0.1, 4.8, 3.1, 2.3",8.646674481492012,United Arab Emirates
GBR,"5.4, 10.5, 5.2, 2.4",17.96679366935838,United Kingdom
UZB,"10, 12.3, 9.9, 10.7",28.621371078266456,Uzbekistan
VNM,"1.8, 4.6, 4.1, 3.4",10.129545031489084,Vietnam
ZMB,"16.4, 9.9, 11.4, 7.9",27.97655281859828,Zambia
ZWE,"60.7, 243.8, 396.2, 190.2",2309.755409000825,Zimbabwe
ADVEC,"5.3, 7.2, 3.3, 2.6",12.41389839164726,
EURO,"5, 9.2, 3.3, 2.7",14.484613060528929,
AS5,"2.4, 5.8, 2.5, 2.6",9.575391932183642,
DA,"2.8, 4, 2.4, 2.8",7.728453918576217,
TJK,"8, 4.2, 5, 6.5",12.580985465746197,Tajikistan
TZA,"4.2, 4.9, 4, 4",10.929004479653038,Tanzania
BHS,"4.1, 5.5, 3.4, 2.6",10.52697741117985,"Bahamas, The"
GMB,"7.6, 13.7, 17.5, 7.1",37.577604809606015,"Gambia, The"
TTO,"3.5, 8.7, 3.5, 2.3",13.796488415395691,Trinidad and Tobago
TKM,"21.1, 3, 11, 10",20.883139854733667,Turkmenistan
UKR,"10, 26.6, 15.5, 10",52.14673676125041,Ukraine
USA,"7.4, 6.4, 3, 2.6",11.617701004066848,United States
URY,"8, 8.3, 5.4, 5.7",17.235311102805163,Uruguay
VUT,"0.7, 12.4, 8.3, 5.6",23.542293395747315,Vanuatu
VEN,"686.4, 234, 250, 230",2121.861141629784,Venezuela
WBG,"1.3, 4.1, 3, 2.5",8.119450082849756,West Bank and Gaza
YEM,"50.4, -2.7, 20, 15",29.422520203613622,Yemen
SVK,"5, 15, 6.3, 4.5",24.606795464616283,Slovak Republic
SOM,"5.7, 6.1, 4.6, 3.9",13.087200516963481,Somalia
ESP,"6.6, 5.5, 4, 3.4",11.825831056219926,Spain
LKA,"12.1, 54.5, 0, 0",57.469368507800134,Sri Lanka
LCA,"4.1, 6.9, 2.2, 2.1",10.558844601807582,Saint Lucia
VCT,"3.4, 6.7, 3.4, 2",11.494922739974944,Saint Vincent and the Grenadines
SUR,"60.7, 54.6, 40, 20",145.17084067913092,Suriname
SWE,"3.3, 11.5, 5.8, 2.8",19.42874465045119,Sweden
TWN,"2.6, 2.7, 2.5, 1.8",6.1913512160989725,Taiwan Province of China
THA,"2.2, 5.9, 0.6, 1.8",7.400433578879406,Thailand
TGO,"6.2, 7.7, 2.7, 2.2",12.331861795759158,Togo
TON,"6.9, 11.3, 7.4, 6.2",22.704415892549147,Tonga
ROU,"8.2, 16.4, 7.8, 4.7",28.606510628548687,Romania
RUS,"8.4, 12.2, 5.7, 5",21.675568118422195,Russian Federation
SMR,"3.2, 7, 5.9, 2.5",14.614787538870821,San Marino
